,date,state,deaths,cases
587,2020-06-12,Chaco,86.0,4.0
1266,2020-06-12,Jujuy,55.0,1.0
345,2020-06-12,CABA,1366.0,13.0
2024,2020-06-13,Río Negro,31.0,1.0
346,2020-06-13,CABA,1252.0,21.0
1123,2020-06-13,Entre Ríos,54.0,1.0
87,2020-06-13,Buenos Aires,1900.0,31.0
940,2020-06-14,Córdoba,197.0,2.0
588,2020-06-14,Chaco,91.0,6.0
1796,2020-06-14,Misiones,6.0,2.0
88,2020-06-14,Buenos Aires,2002.0,36.0
857,2020-06-14,Corrientes,2.0,1.0
347,2020-06-14,CABA,1295.0,30.0
2733,2020-06-14,Santiago del Estero,6.0,1.0
89,2020-06-15,Buenos Aires,2459.0,37.0
1872,2020-06-15,Neuquén,16.0,1.0
2595,2020-06-15,Santa Fe,61.0,1.0
1415,2020-06-15,La Pampa,9.0,1.0
2025,2020-06-15,Río Negro,44.0,1.0
348,2020-06-15,CABA,1525.0,22.0
1626,2020-06-15,Mendoza,45.0,1.0
1124,2020-06-15,Entre Ríos,55.0,3.0
349,2020-06-16,CABA,1736.0,31.0
1627,2020-06-16,Mendoza,38.0,1.0
90,2020-06-16,Buenos Aires,2565.0,42.0
91,2020-06-17,Buenos Aires,2262.0,35.0
1873,2020-06-17,Neuquén,30.0,1.0
589,2020-06-17,Chaco,109.0,3.0
2026,2020-06-17,Río Negro,47.0,3.0
2596,2020-06-17,Santa Fe,63.0,1.0
2824,2020-06-17,Tierra del Fuego,4.0,1.0
1628,2020-06-17,Mendoza,46.0,2.0
350,2020-06-17,CABA,1553.0,30.0
590,2020-06-18,Chaco,90.0,2.0
2597,2020-06-18,Santa Fe,59.0,1.0
92,2020-06-18,Buenos Aires,2371.0,31.0
2460,2020-06-18,Santa Cruz,8.0,1.0
351,2020-06-18,CABA,1586.0,30.0
2027,2020-06-18,Río Negro,52.0,1.0
