,date,prov_x,deaths,cases,lats,lons
1610,2020-05-01,Mendoza,24.0,1.0,-34.6298873058957,-68.58312281837979
303,2020-05-01,CABA,546.0,17.0,-34.6144934119689,-58.4458563545429
1411,2020-05-01,La Pampa,3.0,1.0,-37.1315537735949,-65.4466546606951
44,2020-05-01,Buenos Aires,577.0,16.0,-36.6769415180527,-60.55883198157189
921,2020-05-01,Córdoba,153.0,2.0,-32.142932663607,-63.8017532741662
922,2020-05-02,Córdoba,129.0,3.0,-32.142932663607,-63.8017532741662
304,2020-05-02,CABA,377.0,8.0,-34.6144934119689,-58.4458563545429
45,2020-05-02,Buenos Aires,469.0,9.0,-36.6769415180527,-60.55883198157189
1867,2020-05-02,Neuquén,18.0,1.0,-38.641757582459896,-70.1185705180601
1094,2020-05-02,Entre Ríos,12.0,2.0,-32.0588735436448,-59.2014475514635
548,2020-05-02,Chaco,66.0,4.0,-26.3864309061226,-60.76583074386029
2176,2020-05-03,Salta,1.0,2.0,-24.2991344492002,-64.8144629600627
46,2020-05-03,Buenos Aires,499.0,16.0,-36.6769415180527,-60.55883198157189
305,2020-05-03,CABA,434.0,9.0,-34.6144934119689,-58.4458563545429
549,2020-05-03,Chaco,64.0,3.0,-26.3864309061226,-60.76583074386029
2004,2020-05-03,Río Negro,19.0,1.0,-40.4057957178801,-67.229329893694
1611,2020-05-03,Mendoza,13.0,2.0,-34.6298873058957,-68.58312281837979
923,2020-05-04,Córdoba,195.0,3.0,-32.142932663607,-63.8017532741662
47,2020-05-04,Buenos Aires,551.0,11.0,-36.6769415180527,-60.55883198157189
550,2020-05-04,Chaco,63.0,3.0,-26.3864309061226,-60.76583074386029
2005,2020-05-04,Río Negro,26.0,2.0,-40.4057957178801,-67.229329893694
306,2020-05-04,CABA,429.0,11.0,-34.6144934119689,-58.4458563545429
924,2020-05-05,Córdoba,146.0,2.0,-32.142932663607,-63.8017532741662
551,2020-05-05,Chaco,70.0,1.0,-26.3864309061226,-60.76583074386029
1781,2020-05-05,Misiones,1.0,1.0,-26.8753965086829,-54.6516966230371
307,2020-05-05,CABA,492.0,6.0,-34.6144934119689,-58.4458563545429
756,2020-05-05,Chubut,5.0,3.0,-43.7886233529878,-68.52675939433449
48,2020-05-05,Buenos Aires,580.0,7.0,-36.6769415180527,-60.55883198157189
1095,2020-05-05,Entre Ríos,9.0,2.0,-32.0588735436448,-59.2014475514635
2820,2020-05-06,Tierra del Fuego,5.0,1.0,-82.52151781220999,-50.7427486049785
552,2020-05-06,Chaco,70.0,3.0,-26.3864309061226,-60.76583074386029
1612,2020-05-06,Mendoza,15.0,1.0,-34.6298873058957,-68.58312281837979
49,2020-05-06,Buenos Aires,545.0,15.0,-36.6769415180527,-60.55883198157189
2006,2020-05-06,Río Negro,27.0,1.0,-40.4057957178801,-67.229329893694
308,2020-05-06,CABA,504.0,8.0,-34.6144934119689,-58.4458563545429
553,2020-05-07,Chaco,56.0,1.0,-26.3864309061226,-60.76583074386029
2581,2020-05-07,Santa Fe,50.0,1.0,-30.7069271588117,-60.9498369430241
309,2020-05-07,CABA,506.0,10.0,-34.6144934119689,-58.4458563545429
1096,2020-05-07,Entre Ríos,10.0,1.0,-32.0588735436448,-59.2014475514635
1475,2020-05-07,La Rioja,9.0,1.0,-29.685776298315,-67.18173596944321
1412,2020-05-07,La Pampa,5.0,1.0,-37.1315537735949,-65.4466546606951
50,2020-05-07,Buenos Aires,546.0,22.0,-36.6769415180527,-60.55883198157189
2582,2020-05-08,Santa Fe,47.0,1.0,-30.7069271588117,-60.9498369430241
1097,2020-05-08,Entre Ríos,7.0,1.0,-32.0588735436448,-59.2014475514635
51,2020-05-08,Buenos Aires,569.0,10.0,-36.6769415180527,-60.55883198157189
2934,2020-05-08,Tucumán,14.0,1.0,-26.947800183078602,-65.3647579441481
310,2020-05-08,CABA,544.0,9.0,-34.6144934119689,-58.4458563545429
1613,2020-05-08,Mendoza,20.0,1.0,-34.6298873058957,-68.58312281837979
554,2020-05-08,Chaco,66.0,2.0,-26.3864309061226,-60.76583074386029
1476,2020-05-08,La Rioja,10.0,1.0,-29.685776298315,-67.18173596944321
52,2020-05-09,Buenos Aires,555.0,17.0,-36.6769415180527,-60.55883198157189
1098,2020-05-09,Entre Ríos,13.0,2.0,-32.0588735436448,-59.2014475514635
311,2020-05-09,CABA,492.0,13.0,-34.6144934119689,-58.4458563545429
2007,2020-05-09,Río Negro,28.0,1.0,-40.4057957178801,-67.229329893694
2583,2020-05-09,Santa Fe,44.0,1.0,-30.7069271588117,-60.9498369430241
555,2020-05-09,Chaco,70.0,1.0,-26.3864309061226,-60.76583074386029
