,date,prov_x,deaths,cases,lats,lons,mes
758,2020-05-05,Chubut,5.0,3.0,-43.7886233529878,-68.52675939433449,05
2824,2020-05-06,Tierra del Fuego,5.0,1.0,-82.52151781220999,-50.7427486049785,05
554,2020-05-06,Chaco,70.0,3.0,-26.3864309061226,-60.76583074386029,05
309,2020-05-06,CABA,504.0,8.0,-34.6144934119689,-58.4458563545429,05
49,2020-05-06,Buenos Aires,545.0,15.0,-36.6769415180527,-60.55883198157189,05
2009,2020-05-06,Río Negro,27.0,1.0,-40.4057957178801,-67.229329893694,05
1615,2020-05-06,Mendoza,15.0,1.0,-34.6298873058957,-68.58312281837979,05
310,2020-05-07,CABA,506.0,10.0,-34.6144934119689,-58.4458563545429,05
1099,2020-05-07,Entre Ríos,10.0,1.0,-32.0588735436448,-59.2014475514635,05
50,2020-05-07,Buenos Aires,546.0,22.0,-36.6769415180527,-60.55883198157189,05
1478,2020-05-07,La Rioja,9.0,1.0,-29.685776298315,-67.18173596944321,05
555,2020-05-07,Chaco,56.0,1.0,-26.3864309061226,-60.76583074386029,05
2585,2020-05-07,Santa Fe,50.0,1.0,-30.7069271588117,-60.9498369430241,05
1415,2020-05-07,La Pampa,5.0,1.0,-37.1315537735949,-65.4466546606951,05
1616,2020-05-08,Mendoza,20.0,1.0,-34.6298873058957,-68.58312281837979,05
2586,2020-05-08,Santa Fe,47.0,1.0,-30.7069271588117,-60.9498369430241,05
2938,2020-05-08,Tucumán,14.0,1.0,-26.947800183078602,-65.3647579441481,05
1479,2020-05-08,La Rioja,10.0,1.0,-29.685776298315,-67.18173596944321,05
556,2020-05-08,Chaco,66.0,2.0,-26.3864309061226,-60.76583074386029,05
311,2020-05-08,CABA,544.0,9.0,-34.6144934119689,-58.4458563545429,05
51,2020-05-08,Buenos Aires,569.0,10.0,-36.6769415180527,-60.55883198157189,05
1100,2020-05-08,Entre Ríos,7.0,1.0,-32.0588735436448,-59.2014475514635,05
312,2020-05-09,CABA,492.0,13.0,-34.6144934119689,-58.4458563545429,05
